,Well ID,Avg Pump Difference,Lateral Length,TVD,DELAYED,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure,side,above,below,Area_Acadia,Area_Arches,Area_Badlands,Area_Big Bend,Area_Canyonlands,Area_Carlsbad Caverns,Area_Crater Lake,Area_Denali,Area_Dry Tortugas,Area_Everglades,Area_Glacier,Area_Grand Canyon,Area_Grand Teton,Area_Great Basin,Area_Great Sand Dunes,Area_Great Smoky Mountains,Area_Guadalupe Mountains,Area_Hot Springs,Area_Joshua Tree,Area_Kings Canyon,Area_Lake Clark,Area_Mammoth Cave,Area_Mount Rainier,Area_North Cascades,Area_Olympic,Area_Petrified Forest,Area_Redwood,Area_Rocky Mountain,Area_Sequoia,Area_Yellowstone,Area_Yosemite,Fluid System_Campbell,Fluid System_Williams,Fluid System_Young,Development Strategy_Coke,Development Strategy_Dr Pepper,Development Strategy_Mountain Dew,Development Strategy_Orange Crush,Development Strategy_Pepsi,Development Strategy_Pibb Extra,Development Strategy_Sprite
0,1,-0.93,10300,10415.0,1,2,1195.286743,2,2071.0,12,1455.0,0,1490,4,0.0,0.0,1,0.593758088,34,3304.124833,261.7,2719.8984379999997,472.4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2,-8.45,10300,10415.0,1,2,1195.286743,2,2071.0,12,1455.0,0,1490,4,0.0,0.0,1,0.597058903,67,3301.199254,255.9,2934.885325,747.4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2,3,8.7,11000,8470.0,0,6,2882.384033,0,2492.0,6,1783.0,6,1165,682,4.5,0.0,11,0.516873265,34,2774.40708,184.8,1589.948673,596.9,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,4,,11000,10555.0,1,1,1059.5688480000001,0,2378.0,20,1000.0,1,1000,4,0.0,0.0,1,0.501287232,30,2653.5394149999997,206.7,1304.1628779999999,551.5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,6,-4.34,12300,10355.0,1,0,2763.0,0,2464.0,13,1760.0,0,2077,1410,21.5,28.5,4,0.565199923,21,2963.567911,232.0,2063.4086190000003,517.8,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5,7,0.54,12600,8120.0,1,4,586.3224487000001,2,1570.0,12,600.0,2,694,177,-0.7,-1.0,3,0.561294383,34,2814.617107,296.9,2330.9391379999997,471.2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6,8,66.52,11000,10560.0,1,2,1016.0,1,2124.0,32,859.0,1,1359,29,-0.5,-0.5,2,0.493533848,135,2697.57656,222.9,1975.7449789999998,707.7,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,9,3.39,12900,10345.0,1,1,1010.0,1,2341.0,17,1584.0,0,1606,36,0.0,0.0,1,0.56011052,227,2892.427934,248.5,2235.44895,698.1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8,10,13.78,10000,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.540762005,21,2763.612613,159.2,1671.514259,287.2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,11,56.25,10000,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.523597524,26,2525.493936,165.6,1097.263009,323.3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,12,65.88,10000,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.5197055070000001,106,2434.963424,319.7,1341.334898,392.3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,13,75.57,10100,9090.0,0,5,2727.0,0,2542.0,4,914.0,5,1062,575,-2.1,-0.5,10,0.519913983,47,2446.081885,117.9,2222.396037,650.1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,14,43.66,10100,9090.0,0,5,2727.0,0,2542.0,4,914.0,5,1062,575,-2.1,-0.5,10,0.532913717,120,2701.389381,267.6,1665.823009,561.6,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,15,66.63,10100,9090.0,0,5,2727.0,0,2542.0,4,914.0,5,1062,575,-2.1,-0.5,10,0.523556027,92,2520.1057100000003,145.4,2054.614706,700.4,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14,16,80.58,10100,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.47708093799999995,30,2150.105179,218.2,995.6670335000001,566.6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15,17,92.39,10100,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.472648666,25,2046.380523,232.0,1160.647734,715.4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,18,42.91,10100,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.5265716429999999,34,2405.210273,946.2,890.668334,311.3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,19,5.23,9400,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.54173063,35,2565.229027,242.7,1148.561993,253.0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,20,39.6,10100,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.527903284,97,2318.3950600000003,166.0,1121.475183,369.5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,22,-1.48,12700,8005.0,1,4,899.0,3,1482.0,7,797.0,1,1734,180,30.8,50.0,5,0.5489080270000001,27,2634.323963,161.4,1919.7108039999998,225.3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20,23,1.96,12800,8020.0,1,1,1268.0,0,2586.0,16,910.0,1,914,12,0.0,0.0,1,0.548135939,24,2646.22424,144.6,2127.969411,226.2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
21,24,24.21,12800,8035.0,1,4,712.0,3,1553.0,9,704.0,1,1719,156,16.3,0.0,3,0.538487713,97,2704.208252,223.5903015,2075.985764,185.1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,25,-0.16,10300,10250.0,1,0,1456.1761470000001,0,2382.0,10,1440.0,0,1440,3,0.0,0.0,1,0.559608477,151,2889.833674,265.1,1210.401539,887.1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
23,26,6.03,12800,9295.0,1,4,1832.0,2,1829.0,9,542.0,2,586,277,1.0,1.0,2,0.52199256,203,3579.913367,193.1,2522.649904,523.9,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,27,-5.8,10600,10265.0,1,0,1042.490112,0,1834.0,8,1440.0,0,1440,6,0.0,0.0,1,0.5619430329999999,44,3136.3708579999998,199.4,2252.870766,799.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
25,28,6.66,10300,10250.0,1,0,1456.1761470000001,0,2382.0,10,1440.0,0,1440,3,0.0,0.0,1,0.556785485,209,3087.582724,313.1,1618.171604,577.4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,29,117.26,10900,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.45343500000000003,32,2203.2,155.9,1934.1,678.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
27,30,43.38,10500,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.48057076299999996,115,2508.9205460000003,155.3,2411.60484,736.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
28,31,,10900,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.489194852,105,2641.403093,182.2,2330.6497879999997,712.4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
29,32,-1.7,10000,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.563370555,31,3194.020031,175.6,2330.800646,386.8,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
30,33,-2.26,9800,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.563603648,37,3329.887249,209.8,2980.856098,595.5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
31,34,-2.68,9700,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.563778467,96,3327.5346210000002,164.0,3149.661193,555.0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
32,35,-1.31,9600,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.496985182,39,2829.617284,234.5,2608.790227,535.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
33,36,22.29,11900,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.560853528,47,2895.7817010000003,154.3,2045.2504420000002,364.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
34,37,2.02,10100,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.49576208899999996,102,2862.54691,211.7,2273.230704,694.7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
35,38,-1.6,9800,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.49709169700000005,101,2900.09162,158.9,2282.820439,710.3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
36,39,35.92,12100,8160.0,1,2,616.0,1,1870.0,7,569.0,1,1601,44,5.0,5.0,4,0.55510365,124,2679.837799,177.3,1772.5476489999999,308.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
37,40,5.66,7600,9475.0,0,3,2192.996338,0,2158.0151370000003,0,787.0,3,1263,689,-1.4,-1.5,10,0.5751201229999999,59,3182.050596,138.9,2574.363601,548.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38,41,22.17,12600,10675.0,1,1,1352.0,0,2468.0,27,1000.0,1,2181,1228,-30.3,-30.5,4,0.493067694,48,3005.113167,133.9,2282.086287,517.5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
39,42,,7600,9475.0,0,3,2192.996338,0,2158.0151370000003,0,787.0,3,1263,689,-1.4,-1.5,10,0.577162336,124,3188.784956,153.3,2573.6893809999997,522.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
40,43,21.61,12600,10675.0,1,1,1352.0,0,2468.0,27,1000.0,1,2181,1228,-30.3,-30.5,4,0.49327536200000005,120,2971.983301,112.4,2142.592613,376.5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
41,44,29.69,12600,10675.0,1,2,2000.0,0,2514.0,26,1000.0,2,2587,1531,7.1,33.0,9,0.490279015,185,2845.6310120000003,105.7,2129.5667719999997,363.4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
42,45,16.52,9800,10585.0,1,1,2563.0,0,2695.0,31,932.0,1,1763,9,26.7,40.0,3,0.535544531,148,3141.92177,277.2,1392.6584070000001,214.7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
43,46,-2.68,7500,8485.0,1,4,1374.0,2,1870.0,27,1298.0,2,1073,396,1.2,1.0,5,0.5669053589999999,37,3206.060085,141.6,3174.606856,387.9,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,47,26.71,9800,10580.0,1,1,2501.0,0,2566.0,28,932.0,1,1763,8,-26.7,-40.0,3,0.531457553,216,3011.029665,188.6,1471.735591,235.3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45,48,34.34,9800,10580.0,1,1,2501.0,0,2566.0,28,932.0,1,1763,8,-26.7,-40.0,3,0.528397333,283,3065.385433,287.3,1447.914205,221.2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
46,49,-0.74,9800,8985.0,1,4,736.0,2,1938.0,18,900.4794922,2,1074,626,0.7,1.0,3,0.599503194,108,2699.694344,1336.6,1388.785071,738.6,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,50,8.38,9900,8485.0,1,4,701.0,3,1677.0,11,1006.7836300000001,1,566,555,0.0,0.0,1,0.537465379,148,2720.1738210000003,205.0,1779.6427629999998,397.4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
48,51,30.48,9900,8485.0,1,4,701.0,3,1677.0,11,1006.7836300000001,1,566,555,0.0,0.0,1,0.528623678,163,2698.6227089999998,121.6,1642.325348,422.7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
49,52,,7500,8480.0,1,6,2618.0,4,2141.0,15,1297.0,2,995,393,1.2,1.0,5,0.562309728,220,3082.436237,188.3,2862.491012,402.2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,53,27.8,10000,8485.0,1,4,701.0,3,1677.0,11,1006.7836300000001,1,566,555,0.0,0.0,1,0.529695884,228,2602.510781,115.7,1705.952043,483.3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,54,-3.75,10300,8485.0,1,4,701.0,3,1677.0,11,897.6427612,1,566,555,0.0,0.0,1,0.5283404979999999,358,3051.250581,338.4,2137.722016,435.6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
52,55,-1.36,12700,8275.0,0,2,2261.509277,0,2760.314941,0,846.0,2,1317,291,3.5,3.5,6,0.5781193570000001,157,3144.844132,171.1,2918.588565,1057.2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
53,56,-2.27,12600,10315.0,1,0,2622.0,0,2601.0,36,1757.0,0,1761,4,0.0,0.0,1,0.578508146,164,3139.15703,176.3,2437.8329280000003,741.7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
54,57,7.49,12700,10315.0,1,0,2622.0,0,2601.0,36,1757.0,0,1761,4,0.0,0.0,1,0.574338272,260,3075.345848,147.2,2844.454398,791.7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,58,11.63,10200,8985.0,1,4,736.0,2,1938.0,18,651.3717651000001,2,1074,626,0.7,1.0,3,0.543487253,211,3246.15202,144.1,3007.073721,426.5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
56,59,-2.38,10300,9295.0,1,4,1832.0,2,1829.0,9,542.0,2,586,277,1.0,1.0,2,0.538644008,367,3406.343871,157.1,2644.198823,336.7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
57,60,33.8,10300,8985.0,1,4,736.0,2,1938.0,18,651.3717651000001,2,1074,626,0.7,1.0,3,0.5351049529999999,528,3009.242955,124.5,2425.083694,361.8,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
58,61,-1.2,10300,8485.0,1,4,701.0,3,1677.0,11,897.6427612,1,566,555,0.0,0.0,1,0.52199256,123,3441.7657560000002,234.3,2362.696429,980.0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59,62,1.58,10100,8650.0,1,6,710.227356,6,1679.0,19,1200.0,0,1217,4,0.0,0.0,1,0.560550671,15,3545.666018,170.7,2878.360677,279.1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60,63,0.1,9900,8650.0,1,6,710.227356,6,1679.0,19,1200.0,0,1217,4,0.0,0.0,1,0.561165108,29,3545.5954909999996,238.5,2777.491166,336.1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
61,64,2.87,8200,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.557316247,53,3411.0858789999997,264.4,2875.21182,820.7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
62,65,6.98,7400,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.536369705,28,3278.712697,183.6,3035.8847100000003,389.3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
63,66,0.4,7400,8335.0,0,2,2746.0,0,2678.0,4,562.0,2,1556,21,7.1,16.0,7,0.53899411,36,3167.211166,211.0,2956.639677,562.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
