Well ID,Avg Pump Difference,Lateral Length,TVD,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
1,-0.93,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.593758088,34,3304.124833,261.7,2719.898438,472.4
2,-8.45,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.597058903,67,3301.199254,255.9,2934.885325,747.4
3,8.7,11000,8470,6,,1865,,1838,,,0,2492,2394,660,2397,2397.5,6,1783,265,1783,6,1165,812,682,4.5,0,11,0.516873265,34,2774.40708,184.8,1589.948673,596.9
5,19.93,2300,9295,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,0.503327426,336,,,,
6,-4.34,12300,10355,0,2763,1232,2763,1,,,0,2464,1850,1426,3454,4066,13,1760,1880,1760,0,2077,1112,1410,21.5,28.5,4,0.565199923,21,2963.567911,232,2063.408619,517.8
7,0.54,12600,8120,4,,632,,4,3408,3407.5,2,1570,1273,792,3561,3715,12,600,263,600,2,694,600,177,-0.7,-1,3,0.561294383,34,2814.617107,296.9,2330.939138,471.2
8,66.52,11000,10560,2,1016,1075,792,149,3656,3656,1,2124,1499,1285,2557,3415,32,859,,858,1,1359,1359,29,-0.5,-0.5,2,0.493533848,135,2697.57656,222.9,1975.744979,707.7
9,3.39,12900,10345,1,1010,1241,1010,20,294,294,1,2341,1700,1362,2900,3716,17,1584,,1584,0,1606,1606,36,0,0,1,0.56011052,227,2892.427934,248.5,2235.44895,698.1
10,13.78,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.540762005,21,2763.612613,159.2,1671.514259,287.2
11,56.25,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.523597524,26,2525.493936,165.6,1097.263009,323.3
12,65.88,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.519705507,106,2434.963424,319.7,1341.334898,392.3
13,75.57,10100,9090,5,2727,2314,2727,2305,,,0,2542,2489,399,387,386.5,4,914,447,914,5,1062,781,575,-2.1,-0.5,10,0.519913983,47,2446.081885,117.9,2222.396037,650.1
14,43.66,10100,9090,5,2727,2314,2727,2305,,,0,2542,2489,399,387,386.5,4,914,447,914,5,1062,781,575,-2.1,-0.5,10,0.532913717,120,2701.389381,267.6,1665.823009,561.6
15,66.63,10100,9090,5,2727,2314,2727,2305,,,0,2542,2489,399,387,386.5,4,914,447,914,5,1062,781,575,-2.1,-0.5,10,0.523556027,92,2520.10571,145.4,2054.614706,700.4
16,80.58,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.477080938,30,2150.105179,218.2,995.6670335,566.6
17,92.39,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.472648666,25,2046.380523,232,1160.647734,715.4
18,42.91,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.526571643,34,2405.210273,946.2,890.668334,311.3
19,5.23,9400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.54173063,35,2565.229027,242.7,1148.561993,253
20,39.6,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.527903284,97,2318.39506,166,1121.475183,369.5
22,-1.48,12700,8005,4,899,413,894,130,4083,3106,3,1482,1422,208,4782,5935,7,797,1350,797,1,1734,1715,180,30.8,50,5,0.548908027,27,2634.323963,161.4,1919.710804,225.3
23,1.96,12800,,1,1268,1405,1268,25,,,0,2586,1504,1889,3300,3835.5,16,910,,910,1,914,914,12,0,0,1,0.548135939,24,2646.22424,144.6,2127.969411,226.2
24,24.21,12800,8035,4,712,420,710,109,4107,3105,3,1553,1499,246,4962,5707,9,704,2882,704,1,1719,1708,156,16.3,0,3,0.538487713,97,,,2075.985764,185.1
25,-0.16,10300,10250,0,,1375,,160,,,0,2382,1467,1737,5907,6499,10,1440,,1440,0,1440,1440,3,0,0,1,0.559608477,151,2889.833674,265.1,1210.401539,887.1
26,6.03,12800,9295,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,,203,3579.913367,193.1,2522.649904,523.9
27,-5.8,10600,10265,0,,1292,,139,,,0,1834,838,1554,3475,3475,8,1440,,1440,0,1440,1440,6,0,0,1,0.561943033,44,3136.370858,199.4,2252.870766,799
28,6.66,10300,10250,0,,1375,,160,,,0,2382,1467,1737,5907,6499,10,1440,,1440,0,1440,1440,3,0,0,1,0.556785485,209,3087.582724,313.1,1618.171604,577.4
29,117.26,10900,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.453435,32,2203.2,155.9,1934.1,678.5
30,43.38,10500,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.480570763,115,2508.920546,155.3,2411.60484,736
32,-1.7,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.563370555,31,3194.020031,175.6,2330.800646,386.8
33,-2.26,9800,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.563603648,37,3329.887249,209.8,2980.856098,595.5
34,-2.68,9700,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.563778467,96,3327.534621,164,3149.661193,555
35,-1.31,9600,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.496985182,39,2829.617284,234.5,2608.790227,535
36,22.29,11900,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.560853528,47,2895.781701,154.3,2045.250442,364.2
37,2.02,10100,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.495762089,102,2862.54691,211.7,2273.230704,694.7
38,-1.6,9800,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.497091697,101,2900.09162,158.9,2282.820439,710.3
39,35.92,12100,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.55510365,124,2679.837799,177.3,1772.547649,308.3
40,5.66,7600,9475,3,,,,,,,0,,,,,,0,787,411,787,3,1263,858,689,-1.4,-1.5,10,0.575120123,59,3182.050596,138.9,2574.363601,548
41,22.17,12600,10675,1,1352,1235,1352,52,,,0,2468,1666,1653,2969,4331,27,1000,2528,1000,1,2181,1412,1228,-30.3,-30.5,4,0.493067694,48,3005.113167,133.9,2282.086287,517.5
43,21.61,12600,10675,1,1352,1235,1352,52,,,0,2468,1666,1653,2969,4331,27,1000,2528,1000,1,2181,1412,1228,-30.3,-30.5,4,0.493275362,120,2971.983301,112.4,2142.592613,376.5
44,29.69,12600,10675,2,2000,1091,2000,46,,,0,2514,1759,1629,2882,2248,26,1000,2489,1000,2,2587,1856,1531,7.1,33,9,0.490279015,185,2845.631012,105.7,2129.566772,363.4
45,16.52,9800,10585,1,2563,1290,2563,7,,,0,2695,1672,1936,4972,4490,31,932,,932,1,1763,1763,9,26.7,40,3,0.535544531,148,3141.92177,277.2,1392.658407,214.7
46,-2.68,7500,8485,4,1374,623,1373,43,4002,4001.5,2,1870,1745,516,2019,1963,27,1298,321,1298,2,1073,890,396,1.2,1,5,0.566905359,37,3206.060085,141.6,3174.606856,387.9
47,26.71,9800,10580,1,2501,1209,2501,0,,,0,2566,1521,1883,5240,6326,28,932,,932,1,1763,1763,8,-26.7,-40,3,0.531457553,216,3011.029665,188.6,1471.735591,235.3
48,34.34,9800,10580,1,2501,1209,2501,0,,,0,2566,1521,1883,5240,6326,28,932,,932,1,1763,1763,8,-26.7,-40,3,0.528397333,283,3065.385433,287.3,1447.914205,221.2
49,-0.74,9800,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.599503194,108,2699.694344,1336.6,1388.785071,738.6
50,8.38,9900,8485,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.537465379,148,2720.173821,205,1779.642763,397.4
51,30.48,9900,8485,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.528623678,163,2698.622709,121.6,1642.325348,422.7
53,27.8,10000,8485,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.529695884,228,2602.510781,115.7,1705.952043,483.3
54,-3.75,10300,8485,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.528340498,358,3051.250581,338.4,2137.722016,435.6
55,-1.36,12700,8275,2,,,,,,,0,,,,,,0,846,581,846,2,1317,1180,291,3.5,3.5,6,0.578119357,157,3144.844132,171.1,2918.588565,1057.2
56,-2.27,12600,10315,0,2622,1211,2622,1,,,0,2601,1491,1933,3937,2974,36,1757,,1757,0,1761,1761,4,0,0,1,0.578508146,164,3139.15703,176.3,2437.832928,741.7
57,7.49,12700,10315,0,2622,1211,2622,1,,,0,2601,1491,1933,3937,2974,36,1757,,1757,0,1761,1761,4,0,0,1,0.574338272,260,3075.345848,147.2,2844.454398,791.7
58,11.63,10200,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.543487253,211,3246.15202,144.1,3007.073721,426.5
59,-2.38,10300,9295,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,0.538644008,367,3406.343871,157.1,2644.198823,336.7
60,33.8,10300,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.535104953,528,3009.242955,124.5,2425.083694,361.8
61,-1.2,10300,8485,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,,123,3441.765756,234.3,2362.696429,980
62,1.58,10100,8650,6,,496,,9,4190,4190,6,1679,1488,617,4118,4166,19,1200,,1200,0,1217,1217,4,0,0,1,0.560550671,15,3545.666018,170.7,2878.360677,279.1
63,0.1,9900,8650,6,,496,,9,4190,4190,6,1679,1488,617,4118,4166,19,1200,,1200,0,1217,1217,4,0,0,1,0.561165108,29,3545.595491,238.5,2777.491166,336.1
64,2.87,8200,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.557316247,53,3411.085879,264.4,2875.21182,820.7
65,6.98,7400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.536369705,28,3278.712697,183.6,3035.88471,389.3
66,0.4,7400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.53899411,36,3167.211166,211,2956.639677,562.8
67,60.35,7400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.515083309,99,2842.276922,191,2334.65693,453.8
68,26.48,8200,9495,6,892,669,888,632,1997,1996.5,2,1947,1923,219,1706,1996.5,8,864,340,864,4,1389,1137,602,0.9,1.5,14,0.547561566,132,3391.551227,207.3,2901.845333,756.3
69,25.11,8200,8755,4,1893,1515,1892,1501,,,0,2340,2335,134,3816,4040,6,858,461,858,4,682,419,388,1.5,1.5,4,0.548127593,211,3385.92728,285.2,2977.532359,966.7
70,22.57,10000,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.55091589,393,2793.152774,208.9,2435.512097,966.9
72,57.13,10000,10550,0,2781,1253,2781,0,,,0,2518,1570,1754,5091,5363,18,1763,,1763,0,1792,1791,23,0,0,1,0.499729856,136,2903.189111,148.9,1572.188565,274
73,24.68,9800,10545,0,1059,1272,1059,0,,,0,2628,1774,1733,5196,6229.5,24,1672,,1672,0,1672,1672,17,0,0,1,0.512255381,132,3079.502378,458.1,1542.878646,201.4
74,-0.46,9900,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.562230068,387,,,1958.012228,393.3
75,49.95,10400,9070,3,1286,511,1276,2,4955,4955,1,2105,2022,451,3089,2813,27,670,659,660,2,665,330,388,-0.5,-0.5,2,0.492984227,98,2956.58701,196.5,2377.513451,637.3
77,18.09,9900,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.554517436,155,3503.145764,287,2588.412089,679.6
78,26.83,10000,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.553024696,113,3340.95279,198,2544.943509,409.5
79,72.63,10600,9070,3,1286,511,1276,2,4955,4955,1,2105,2022,451,3089,2813,27,670,659,660,2,665,330,388,-0.5,-0.5,2,0.490793908,99,2810.163763,209,1716.51506,372.9
80,5.73,9700,10075,1,2356,1139,2356,22,,,0,2510,1419,1888,5509,4808,26,1021,,1021,1,1050,1050,5,0,0,1,0.57073975,35,2688.771443,185.2,2235.463224,441.3
81,5.14,9700,8765,4,757,2701,756,2634,4697,4697,1,2332,2317,165,2953,2884,4,893,635,893,3,1294,1153,368,1.2,1,5,0.570989915,107,2677.106456,158.3,2569.850589,480.7
82,1.47,10200,8175,7,1157,573,1155,75,5423,5689,6,2009,1621,937,4763,4605.5,26,1344,263,1343,1,958,876,175,0.7,1,3,0.518512647,50,2983.398776,182.9,2805.494621,556.9
83,86.53,10200,8175,7,1157,573,1155,75,5423,5689,6,2009,1621,937,4763,4605.5,26,1344,263,1343,1,958,876,175,0.7,1,3,0.485850131,48,2585.168365,198.1,2318.978438,617.4
84,38.63,10200,8175,7,1157,573,1155,75,5423,5689,6,2009,1621,937,4763,4605.5,26,1344,263,1343,1,958,876,175,0.7,1,3,0.504243436,124,,,2696.502663,927.1
86,9.41,7400,10175,1,,1041,,17,1289,1289,1,2273,1469,1544,1375,1495.5,20,1249,2571,1249,0,2641,2327,970,6.7,3,9,0.486643219,28,3030.600808,122.8,2894.154482,380.2
88,4.52,7500,10175,1,,1041,,17,1289,1289,1,2273,1469,1544,1375,1495.5,20,1249,2571,1249,0,2641,2327,970,6.7,3,9,0.488415961,88,2960.748549,150.7,2804.015668,481
89,15.09,7500,8775,6,1607,219,1606,10,1368,1367.5,4,1791,1682,378,2282,1390.5,14,696,,695,2,721,721,7,-0.5,-0.5,2,0.484584082,100,3064.953528,205.3,3064.953528,340.1
90,25.29,15300,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.503955815,123,3295.453913,241.3,2522.626225,396.5
92,29.13,15300,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.501580903,134,3480.775229,225.4,2574.593043,195.1
95,29.48,12400,8330,5,,673,,143,3699,3704,3,1925,1456,1085,3334,3688,18,932,646,932,2,1340,1324,134,1.5,1.5,4,0.498599038,233,2768.887457,215.6,2371.409781,351
97,12.63,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.511444884,50,2594.2212,310.2,1890.757538,455.1
98,102.51,12400,10255,2,772,1000,772,0,4252,4251.5,2,2366,1481,1624,3652,1914,27,1748,,1748,0,1748,1748,24,0,0,1,0.517879525,87,2269.844556,128.3,1693.156406,556
99,92.25,12400,10255,2,772,1000,772,0,4252,4251.5,2,2366,1481,1624,3652,1914,27,1748,,1748,0,1748,1748,24,0,0,1,0.52494356,89,2377.199546,120.3,1710.870419,523.8
100,6.34,10100,8240,1,,2925,,2646,,,0,2971,2697,1245,1014,1014,1,717,,715,1,1656,1655,47,-4.8,-5,6,0.513847136,107,2730.315121,196.7,1933.705533,426
101,6.17,10100,8240,1,,2925,,2646,,,0,2971,2697,1245,1014,1014,1,717,,715,1,1656,1655,47,-4.8,-5,6,0.513912062,120,2575.69115,239.3,2075.546549,527.9
102,7.24,7300,8180,2,1213,,1208,,,,0,2194,2192,65,856,1020,5,578,,578,2,1129,1129,26,-1.3,-2.5,4,0.505226105,35,2781.318653,294.9,2295.844348,416
103,-4.14,7300,8240,1,,2925,,2646,,,0,2971,2697,1245,1014,1014,1,717,,715,1,1656,1655,47,-4.8,-5,6,0.509502253,34,2906.213082,305.5,2247.58738,363.4
104,26.68,7300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.497921332,91,2738.838669,217.1,1984.22885,327.7
105,0.67,10200,9000,4,,,,,,,0,,,,,,0,879,575,879,4,1495,1379,316,0.2,0,9,0.554482208,30,3148.721362,291.6,2662.974152,638.3
106,-2.8,9400,10270,0,,1301,,216,,,0,1870,883,1559,3475,3475,8,1440,,1440,0,1440,1440,6,0,0,1,0.555906257,54,3202.266903,292.2,2314.917876,609.1
107,55.13,10200,10270,0,,1301,,216,,,0,1870,883,1559,3475,3475,8,1440,,1440,0,1440,1440,6,0,0,1,0.532132444,135,2924.140031,309.5,2087.818061,752.4
108,1.51,10100,8530,4,,,,,,,0,,,,,,0,959,492,959,4,1561,1457,331,-5,-0.5,10,0.562450063,112,3132.012505,197.9,2839.83509,656
109,33.77,10800,8350,8,1707,630,1707,23,4690,4691,3,1985,1621,870,3368,4686,24,792,657,792,5,1304,1191,300,-18.6,-27.5,10,0.485013292,33,2582.552389,153.4,2372.739292,684.7
110,18.72,10300,8500,5,,,,,,,0,,,,,,0,627,370,627,5,1221,1127,326,-7.5,-2.5,10,0.553742583,32,3214.919515,215.6,3058.222424,611.8
111,-0.55,9800,8325,7,,577,,127,3653,3654,3,1937,1557,886,4080,3654,19,708,278,708,4,697,648,130,0.3,0.5,4,0.502013393,35,,,2509.734182,626.1
112,14.37,10600,10440,1,,1161,,90,,,0,2217,1623,1355,3030,2638,15,1000,,1000,1,1000,1000,18,0,0,1,0.492152253,99,2718.909404,164,2123.056545,644.9
113,45.67,10300,8515,7,,,,,,,0,,,,,,0,959,372,959,7,1050,930,327,-3.9,1,10,0.542547808,132,3183.079823,189.3,3091.153367,476.8
114,-0.46,9800,10440,1,1901,1086,1901,115,,,0,2213,1703,1158,4221,4796.5,18,1000,,1000,1,1000,1000,9,0,0,1,0.501979983,107,,,2879.175352,571.6
115,23,10600,10420,1,,1158,,31,,,0,2270,1710,1346,3591,3445,18,1000,,1000,1,1000,1000,18,0,0,1,0.488976519,162,2576.100462,198.1,2386.942578,616.2
116,11.92,9800,8375,8,,728,,107,5902,6296,3,1808,1438,910,5111,5508.5,16,755,484,755,5,1479,1408,284,11.6,2,12,0.498518451,167,2670.179469,156,2619.197522,730.6
117,0.89,15700,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.544308289,131,3135.863594,222,1958.565871,250.8
118,-2.13,11100,8445,5,2081,489,2081,4,4293,4293,4,1948,1513,959,2326,1081,25,1439,266,1439,1,1048,959,183,0.7,1,3,0.522708084,445,2903.359808,154.7,2793.901301,621.5
119,-1.45,9800,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.551499235,42,3383.440746,176.9,2830.180516,619.8
120,-1.63,10000,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.551572593,38,3452.534082,254.1,2665.209027,740.3
121,0.25,15600,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.544566161,228,3179.769204,209.3,2010.03753,809.2
